Source Target Weight
神僧 法相 11
神僧 陆雪琪 6
神僧 和尚 8
神僧 张小凡 10
神僧 普空 17
神僧 伏魔 4
神僧 师兄 4
神僧 普德 12
神僧 普泓 42
神僧 谷谷主 4
神僧 浮屠 4
神僧 金钵 4
敬畏 田不易 4
敬畏 明白 4
敬畏 师兄 4
敬畏 张小凡 6
敬畏 宋大仁 4
敬畏 鬼王 16
敬畏 兽神 4
小诗 雪琪 10
小诗 小竹峰 4
小诗 陆雪琪 14
小诗 文敏 22
小诗 侍侯 6
小诗 师姐 12
荆棘 野狗道人 4
荆棘 小灰 6
荆棘 大黄 4
泰山北斗 普泓 4
泰山北斗 道玄真人 4
越传越 云易岚 4
空自 陆雪琪 10
空自 文敏 6
张少侠 张小凡 6
戴孝 白布 4
戴孝 宋大仁 6
碧水潭 门镇山 7
碧水潭 石阶 4
碧水潭 林惊羽 6
碧水潭 玉清殿 8
碧水潭 张小凡 16
熊熊 大巫师 4
熊熊 巨龙 4
熊熊 云彩 4
钟鼎之 玉清殿 4
钟鼎之 门晨 4
布满 大巫师 4
布满 田不易 4
布满 石阶 4
布满 鬼王 4
布满 冷汗 5
布满 陆雪琪 11
布满 小白 8
陈年 师兄 6
小竹峰 明白 6
小竹峰 若雪 4
小竹峰 白石 4
小竹峰 水月 189
小竹峰 林惊羽 11
小竹峰 李洵 14
小竹峰 如玉 4
小竹峰 恩师 8
小竹峰 宋大仁 84
小竹峰 田师叔 4
小竹峰 容纳 4
小竹峰 田不易 70
小竹峰 苏茹 46
小竹峰 楼宇 6
小竹峰 云易岚 8
小竹峰 陆雪琪 168
小竹峰 田灵儿 33
小竹峰 苍松 27
小竹峰 师娘 27
小竹峰 龙峰 4
小竹峰 雪琪 22
小竹峰 商正梁 5
小竹峰 老夫 4
小竹峰 望月 16
小竹峰 文敏 152
小竹峰 黑心老人 6
小竹峰 翠绿 10
小竹峰 安静 9
小竹峰 于色 4
小竹峰 法相 6
小竹峰 师姐 60
小竹峰 清辉如 10
小竹峰 黑云 4
小竹峰 张小凡 65
小竹峰 曾叔常 16
小竹峰 老七 4
小竹峰 陆姑娘 14
小竹峰 门师伯 4
小竹峰 齐声 4
小竹峰 玉清殿 12
小竹峰 何大智 16
小竹峰 小诗 4
小竹峰 张师弟 4
小竹峰 齐昊 25
小竹峰 道玄真人 31
小竹峰 了竹涛 4
小竹峰 容颜 8
小竹峰 静竹轩 4
小竹峰 萧逸才 20
小竹峰 师兄 48
小竹峰 青翠 6
小竹峰 师叔 23
小竹峰 冷冷道 5
小竹峰 曾书书 4
明里暗里 段如山 4
玄青 白光 4
玄青 小灰 6
玄青 阴灵 6
玄青 蓝光 5
玄青 陆雪琪 9
玄青 凌空 4
玄青 张小凡 40
阳寿 金瓶儿 8
阳寿 阴德 4
阳寿 小环 6
蒙恩师 田不易 9
蒙恩师 陆雪琪 8
巨岩 鬼王 5
银山 金山 4
寒霜 凌空 4
寒霜 林惊羽 4
云老 云易岚 4
田师叔 小竹峰 4
田师叔 明白 8
田师叔 李师兄 6
田师叔 师姐 5
田师叔 水月 10
田师叔 林惊羽 15
田师叔 恩师 23
田师叔 宋大仁 9
田师叔 玉清殿 4
田师叔 那一剑 4
田师叔 苍松 14
田师叔 田不易 68
田师叔 苏茹 20
田师叔 玄师伯 8
田师叔 张师弟 34
田师叔 齐昊 13
田师叔 道玄真人 6
田师叔 石阶 6
田师叔 陆雪琪 94
田师叔 文敏 5
田师叔 师叔你 4
田师叔 苏师叔 9
田师叔 萧逸才 72
田师叔 师兄 21
田师叔 师尊 4
田师叔 雪琪 9
田师叔 师叔 27
包围住 金瓶儿 21
杜必 田不易 6
杜必 师兄 21
杜必 吕大信 4
杜必 苏茹 15
杜必 齐昊 6
杜必 田灵儿 6
杜必 张小凡 13
许久以前 张小凡 4
许久以前 云易岚 4
都远胜 师兄 12
静谧 安静 4
静谧 周一仙 9
静谧 张小凡 13
静谧 碧瑶 5
静谧 张开 4
苍松 天云 6
苍松 小竹峰 27
苍松 陆雪琪 11
苍松 林惊羽 68
苍松 端木老祖 21
苍松 玄火鉴 4
苍松 田师叔 14
苍松 玄木 10
苍松 百毒子 18
苍松 冷汗 8
苍松 冷笑 38
苍松 田灵儿 13
苍松 石头 4
苍松 商正梁 21
苍松 冷冷道 33
苍松 冷冰冰 6
苍松 敬仰 10
苍松 安静 10
苍松 宗后 6
苍松 张小凡 84
苍松 雪琪 6
苍松 双眉 4
苍松 玉清殿 12
苍松 铁青 11
苍松 小丑 6
苍松 楚誉宏 4
苍松 张师弟 20
苍松 道玄真人 149
苍松 师兄 221
苍松 鬼王 175
苍松 宁可 6
苍松 林师弟 5
苍松 金瓶儿 199
苍松 明白 25
苍松 水月 61
苍松 李洵 18
苍松 小凡真 6
苍松 小山 4
苍松 恩师 15
苍松 龙峰 11
苍松 吸血老妖 21
苍松 鬼先生 12
苍松 侏儒 6
苍松 田不易 216
苍松 苏茹 85
苍松 幽姬 6
苍松 向前走 12
苍松 小盒子 4
苍松 田师兄 9
苍松 秦无炎 106
苍松 那道人 4
苍松 法相 17
苍松 上官策 6
苍松 霍地 5
苍松 曾叔常 14
苍松 若真 6
苍松 位师叔 5
苍松 灵堂 8
苍松 齐昊 79
苍松 诸如 6
苍松 了什 6
苍松 萧逸才 62
苍松 张开 8
苍松 灵尊 4
苍松 师叔 38
大肆宣扬 周一仙 4
呼唤 陆雪琪 7
呼唤 碧瑶 5
呼唤 小凡 4
呼唤 张小凡 7
老七 师兄 9
老七 田不易 64
老七 那一剑 12
老七 陆姑娘 4
老七 小竹峰 4
老七 陆雪琪 8
老七 张小凡 13
老七 碧瑶 6
老七 师娘 18
老七 苏茹 6
老七 宋大仁 10
和三妙 玉阳子 6
和三妙 鬼王 6
金红禅 普泓 4
翠绿 小竹峰 10
翠绿 小灰 4
英俊 齐昊 13
英俊 林惊羽 18
英俊 燕虹 4
英俊 张小凡 26
英俊 李洵 8
归隐 痴儿 4
归隐 恩师 6
归隐 法相 4
早夭 野狗道人 4
早夭 周一仙 6
巨猿 野狗道人 4
闻迅 鬼王 6
谷玄 玄火鉴 4
谷玄 小白 7
门师伯 小竹峰 4
门师伯 向道玄 4
门师伯 师伯师 4
门师伯 天成 32
门师伯 师姐 7
门师伯 水月 27
门师伯 林惊羽 6
门师伯 师叔你 4
门师伯 玄师伯 7
门师伯 陆雪琪 54
门师伯 张小凡 12
门师伯 恩师 7
门师伯 云师伯 6
门师伯 田不易 24
门师伯 张师弟 18
门师伯 齐昊 10
门师伯 道玄真人 5
门师伯 文敏 16
门师伯 师兄 52
门师伯 子师伯 31
门师伯 雪琪 10
门师伯 曾书书 4
双眉 小灰 4
双眉 田不易 6
双眉 道玄真人 6
双眉 上官策 8
双眉 小白 10
双眉 苍松 4
双眉 云易岚 10
小妞 野狗道人 4
小妞 田灵儿 4
慈祥 老僧 4
慈祥 鬼王 6
慈祥 法相 4
慈祥 道玄真人 6
慈祥 老和尚 4
慈祥 云易岚 4
慈祥 和尚 4
慈祥 张小凡 8
慈祥 法善 4
真元 普德 8
真元 碧瑶 4
真元 普智 4
贝齿 碧瑶 6
贝齿 盖子 6
贝齿 小白 4
贝齿 陆雪琪 11
贝齿 周一仙 6
贝齿 水月 4
贝齿 小环 9
通晓 道玄真人 4
叶子 小灰 6
张师弟 苍松 20
张师弟 楚誉宏 8
张师弟 小竹峰 4
张师弟 田不易 6
张师弟 李师兄 12
张师弟 彭昌 14
张师弟 石洞 12
张师弟 法相 46
张师弟 林惊羽 4
张师弟 道玄真人 4
张师弟 李洵 20
张师弟 陆雪琪 20
张师弟 张小凡 53
张师弟 法善 4
张师弟 田灵儿 8
张师弟 了什 4
张师弟 萧逸才 32
张师弟 若真 9
张师弟 师兄 6
张师弟 田师叔 34
张师弟 普智 28
张师弟 鬼王 10
张师弟 门师伯 18
张师弟 常箭 4
张师弟 师叔 50
张师弟 师伯师 6
了竹涛 小竹峰 4
黄狗 宋大仁 4
黄狗 大黄 12
黄狗 杜必书 4
黄狗 毛猴子 6
黄狗 小灰 8
黄狗 张小凡 10
昌合 苏茹 6
云彩 玄蛇 4
云彩 熊熊 4
红云 白光 6
红云 鬼王 6
红云 光辉 6
高强 林惊羽 4
高强 萧逸才 4
高强 兽神 4
不免有些 师兄 4
不免有些 周一仙 5
不免有些 张小凡 7
不免有些 小环 6
巨龙 申天斗 6
巨龙 熊熊 4
兽神 金瓶儿 30
兽神 大巫师 16
兽神 空之声 4
兽神 明白 10
兽神 那一剑 7
兽神 古剑 6
兽神 苍生 12
兽神 玄火鉴 4
兽神 封印 4
兽神 奥秘 4
兽神 旷世 4
兽神 古老 10
兽神 鬼先生 19
兽神 石非石 4
兽神 法阵 4
兽神 仰天长啸 7
兽神 小灰 29
兽神 田不易 4
兽神 苏茹 6
兽神 华丽 4
兽神 黑虎 4
兽神 云易岚 22
兽神 陆雪琪 39
兽神 厉啸 8
兽神 小白 15
兽神 仰天 4
兽神 冷笑 18
兽神 虎视耽耽 4
兽神 黄鸟 4
兽神 老夫 4
兽神 迟早会 4
兽神 李洵 9
兽神 小剑 6
兽神 安静 8
兽神 师姐 4
兽神 上官策 4
兽神 黑云 16
兽神 玲珑 18
兽神 云霄 5
兽神 余怒 4
兽神 凤凰 4
兽神 玉清殿 4
兽神 光辉 13
兽神 殷红 4
兽神 凡夫俗子 4
兽神 敬畏 4
兽神 白光 17
兽神 静静 8
兽神 碧瑶 4
兽神 玉非玉 4
兽神 道玄真人 80
兽神 容颜 10
兽神 文敏 15
兽神 高强 4
兽神 萧逸才 4
兽神 师兄 11
兽神 鬼王 26
那小子 碧瑶 6
那小子 田不易 4
那小子 师兄 6
师叔便 恩师 4
师叔便 师叔 4
师叔便 普智 6
宗内 鬼王 25
宗内 寒冰 6
宗内 鬼先生 10
盖子 贝齿 6
盖子 碧瑶 12
刁钻 陆雪琪 4
万幸 碧瑶 10
万幸 阴灵 4
万幸 张小凡 10
金钵 普空 12
金钵 神僧 4
金钵 浮屠 10
元阳 吸血老妖 6
别跟我 玄火鉴 4
冷冰冰 苍松 6
冷冰冰 师兄 6
冷冰冰 水月 11
